,Max_Amplitude,Dominant_Freq,Entropy,Mean,Median,STD,Kurtosis,Skewness,IQR,First_Percentile,Second_Percentile,Third_Percentile,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Label
0,13604.0,30.25,7.514716656498419,-1.7323124408721924,-3.0,1981.2100830078125,10.426979808151994,0.4900965620320624,1206.25,-623.0,-3.0,583.25,728.85498046875,179.56146240234375,69.60586547851562,35.062957763671875,13.18379020690918,8.794671058654785,0.8829761743545532,-7.102914810180664,-2.14933705329895,2.3792200088500977,2.1480205059051514,0.582466185092926,0.8387153148651123,normal
1,12271.0,22.5,7.5153293058273585,-1.4035625457763672,-7.0,1731.685546875,10.204473243993078,0.520875812003526,1238.25,-636.0,-7.0,602.25,733.5550537109375,171.6106414794922,57.287757873535156,27.22100830078125,21.60248565673828,10.697320938110352,2.4522933959960938,-3.905923843383789,1.5882267951965332,3.991583824157715,0.20959484577178955,2.013700246810913,1.4236339330673218,normal
2,15336.0,65.0,7.6378525323632855,4.432312488555908,-28.0,2155.603759765625,10.114481404615315,0.6815985142420267,1444.25,-762.25,-28.0,682.0,715.5086059570312,189.98715209960938,61.291954040527344,29.2183837890625,23.740745544433594,13.914056777954102,1.4081543684005737,-0.5473067760467529,0.5388991832733154,1.8779833316802979,-0.36027443408966064,2.0927984714508057,2.6847639083862305,normal
3,13695.0,59.75,7.6150605639098385,-4.6149373054504395,-25.0,1989.9658203125,10.138370854011233,0.6261206369911072,1419.0,-724.0,-25.0,695.0,710.7939453125,187.382568359375,57.65707015991211,35.97605895996094,23.6129207611084,16.621753692626953,0.9563122391700745,-2.1314611434936523,-0.2889636754989624,1.9088654518127441,-0.9657098650932312,0.2948106825351715,3.002962112426758,normal
4,4426.0,65.0,6.37473463333653,-1.7788749933242798,-3.0,358.2508850097656,12.34289138215845,0.2136849267229995,348.0,-180.0,-3.0,168.0,706.8757934570312,62.19892120361328,70.72740173339844,15.398514747619629,25.82933807373047,10.893827438354492,11.810940742492676,4.16892147064209,1.2299689054489136,0.426706463098526,-7.599577903747559,-1.5202921628952026,-3.3839125633239746,normal
5,4116.0,60.5,6.225442648331099,-0.8884375095367432,3.0,287.88629150390625,14.101948580698842,0.08119742984887311,320.0,-162.0,3.0,158.0,680.02734375,54.782814025878906,81.73887634277344,19.861047744750977,29.239444732666016,8.585219383239746,9.566854476928711,3.943716287612915,2.6161036491394043,0.08546027541160583,-7.812348365783691,-2.0301003456115723,-4.164422035217285,normal
6,4798.0,63.0,6.292792879171367,-0.7006875276565552,5.0,348.54583740234375,22.426259687546107,0.8037763438516533,336.0,-169.0,5.0,167.0,714.022705078125,71.47431945800781,72.0653076171875,2.5268211364746094,21.19662094116211,10.315604209899902,10.004384994506836,2.8606886863708496,-0.8071677088737488,0.044797301292419434,-8.021360397338867,-2.537653923034668,-5.153686046600342,normal
7,2931.0,32.25,6.214610247989872,-0.9482499957084656,6.0,296.92041015625,6.776727405245346,0.014986103693411898,311.0,-154.0,6.0,157.0,698.0243530273438,63.54645919799805,72.41568756103516,12.723360061645508,23.37744903564453,8.043401718139648,9.528592109680176,3.5392661094665527,2.876260995864868,-0.589288592338562,-6.659910678863525,-2.852950096130371,-4.93913459777832,normal
8,9423.0,155.0,6.626048361650634,-0.8320624828338623,-2.0,1000.4465942382812,21.77104126656499,1.054476156493512,376.0,-192.0,-2.0,184.0,703.6491088867188,153.4741668701172,66.86837768554688,23.517175674438477,16.510269165039062,4.766498565673828,-6.146688461303711,-3.0182199478149414,-9.99453353881836,-6.408926010131836,-10.238317489624023,-4.160001277923584,-6.4381256103515625,normal
9,11145.0,136.25,6.576402443066962,-0.9651874899864197,-7.0,1099.5927734375,29.209837771395435,0.7963454354311932,347.0,-182.0,-7.0,165.0,701.9666748046875,160.40478515625,64.08229064941406,31.944499969482422,16.362545013427734,2.7871270179748535,-12.39240837097168,-3.42138934135437,-10.659608840942383,-9.80662727355957,-12.856921195983887,-2.9952707290649414,-4.276093482971191,normal
